item_id_enc,category_id,parent_id,item_popularity,category_popularity,parent_popularity
231851,159.0,1028,1,60445,60669
104131,888.0,866,4,234988,235872
198932,400.0,110,10,32988,33761
30135,790.0,1492,22,271166,276977
79083,,-1,82,0,590631
143629,,-1,3,0,590631
133160,888.0,866,7,234988,235872
49582,451.0,945,2,12111,16966
122915,230.0,1424,2,8926,12622
85202,915.0,1550,17,7109,8276
93989,,-1,5,0,590631
89971,,-1,3,0,590631
25010,0.0,605,33,6543,8161
183241,917.0,1374,1,62155,62171
24669,790.0,1492,34,271166,276977
135925,241.0,893,60,195,8190
168432,761.0,395,24,7587,13033
123965,908.0,1487,8,1697,2527
163218,1036.0,1420,3,25717,25773
130218,941.0,1492,1,4764,276977
232134,764.0,1370,9,62573,62592
174403,227.0,602,1,52466,52865
140759,,-1,47,0,590631
92981,790.0,1492,19,271166,276977
48240,61.0,140,4,2444,6864
77145,719.0,908,7,1068,1543
63574,689.0,207,18,23918,24621
158073,,-1,1,0,590631
48185,888.0,866,80,234988,235872
137144,689.0,207,95,23918,24621
2348,928.0,20,2,26829,28391
150896,776.0,727,2,78927,80906
130256,689.0,207,3,23918,24621
166297,561.0,395,2,1538,13033
72095,,-1,1,0,590631
220554,112.0,381,1,66052,66282
149578,112.0,381,8,66052,66282
146528,971.0,426,15,496,1867
104163,253.0,1525,16,755,755
26791,227.0,602,1,52466,52865
79678,,-1,8,0,590631
154669,663.0,395,8,3718,13033
231415,790.0,1492,19,271166,276977
198410,922.0,1687,3,115,2653
46427,101.0,312,6,834,3078
104034,696.0,989,10,1123,3306
63907,977.0,871,13,310,384
26903,112.0,381,4,66052,66282
213431,464.0,143,2,1875,4274
181935,,-1,1,0,590631
133294,60.0,587,1,65,645
7831,790.0,1492,3,271166,276977
56364,888.0,866,2,234988,235872
87774,230.0,1424,2,8926,12622
185552,400.0,110,44,32988,33761
226296,619.0,145,2,1800,1817
65426,839.0,33,2,66622,68188
195020,888.0,866,6,234988,235872
216773,584.0,709,3,2331,2335
80473,283.0,1579,1,70946,80723
13399,104.0,164,5,3464,3635
91450,790.0,1492,191,271166,276977
203092,787.0,609,17,27,356
207189,,-1,10,0,590631
165830,790.0,1492,87,271166,276977
162194,,-1,9,0,590631
20792,888.0,866,4,234988,235872
164848,888.0,866,6,234988,235872
195648,928.0,20,46,26829,28391
106526,,-1,27,0,590631
52360,790.0,1492,65,271166,276977
55285,1066.0,293,94,7412,8099
25533,,-1,2,0,590631
145652,35.0,20,21,1396,28391
146506,159.0,1028,4,60445,60669
28553,847.0,101,1,2069,2069
149565,917.0,1374,6,62155,62171
4435,790.0,1492,1,271166,276977
174600,202.0,1008,3,68054,68963
229764,400.0,110,29,32988,33761
31167,293.0,1532,5,1972,3595
184142,,-1,32,0,590631
91839,364.0,711,1,68301,68312
100500,888.0,866,1,234988,235872
170054,776.0,727,1,78927,80906
99384,888.0,866,31,234988,235872
11275,112.0,381,4,66052,66282
49424,888.0,866,1,234988,235872
48146,790.0,1492,17,271166,276977
14197,790.0,1492,36,271166,276977
231232,790.0,1492,2,271166,276977
43761,790.0,1492,7,271166,276977
138557,159.0,1028,3,60445,60669
17989,776.0,727,7,78927,80906
223080,,-1,12,0,590631
211512,888.0,866,2,234988,235872
64531,790.0,1492,1,271166,276977
74721,364.0,711,5,68301,68312
12653,49.0,1125,11,1076,2582
70687,,-1,1,0,590631
26181,888.0,866,48,234988,235872
139354,888.0,866,11,234988,235872
106521,888.0,866,1,234988,235872
32793,815.0,1027,15,2529,2804
39728,888.0,866,2,234988,235872
230567,790.0,1492,11,271166,276977
89390,,-1,10,0,590631
116534,,-1,78,0,590631
146129,,-1,20,0,590631
4166,,-1,2,0,590631
11528,,-1,3,0,590631
115201,790.0,1492,1,271166,276977
167879,112.0,381,15,66052,66282
52778,0.0,605,157,6543,8161
122563,807.0,620,1,1020,1404
104811,888.0,866,2,234988,235872
189174,405.0,351,7,2346,9102
161088,678.0,250,1,64043,82373
139714,888.0,866,2,234988,235872
146052,558.0,92,4,7430,13098
201689,790.0,1492,5,271166,276977
26754,178.0,399,3,257,1122
16624,235.0,1224,5,842,7962
93868,888.0,866,3,234988,235872
120944,,-1,1,0,590631
162840,1066.0,293,7,7412,8099
120044,,-1,65,0,590631
212646,83.0,1621,1,675,748
90508,283.0,1579,3,70946,80723
54013,1081.0,1224,8,2688,7962
22242,400.0,110,1,32988,33761
32205,776.0,727,4,78927,80906
209485,790.0,1492,5,271166,276977
216349,888.0,866,6,234988,235872
83448,888.0,866,3,234988,235872
42503,790.0,1492,5,271166,276977
60996,,-1,2,0,590631
157332,962.0,945,2,3094,16966
134127,159.0,1028,4,60445,60669
173274,112.0,381,5,66052,66282
158304,790.0,1492,3,271166,276977
11993,888.0,866,12,234988,235872
87554,19.0,750,16,9486,9486
108403,790.0,1492,2,271166,276977
162029,839.0,33,31,66622,68188
198755,490.0,647,86,2069,2116
163501,790.0,1492,18,271166,276977
107925,663.0,395,3,3718,13033
206340,202.0,1008,167,68054,68963
146240,1036.0,1420,140,25717,25773
137084,364.0,711,5,68301,68312
24743,917.0,1374,5,62155,62171
232243,888.0,866,3,234988,235872
59617,663.0,395,8,3718,13033
151734,637.0,92,6,2583,13098
136254,790.0,1492,2,271166,276977
160622,,-1,4,0,590631
155829,790.0,1492,1,271166,276977
61851,678.0,250,1,64043,82373
90872,956.0,879,4,1984,1984
164384,283.0,1579,1,70946,80723
211220,790.0,1492,3,271166,276977
59467,790.0,1492,28,271166,276977
155274,6.0,933,1,68197,87386
178016,325.0,540,1,1825,3836
45388,409.0,140,1,1073,6864
187710,663.0,395,4,3718,13033
184549,,-1,70,0,590631
134312,790.0,1492,5,271166,276977
234182,364.0,711,2,68301,68312
112840,,-1,5,0,590631
211330,839.0,33,3,66622,68188
28355,159.0,1028,1,60445,60669
46952,400.0,110,2,32988,33761
7245,790.0,1492,13,271166,276977
60216,813.0,1057,1,2230,3008
172053,658.0,506,50,2953,6941
53891,112.0,381,1,66052,66282
26338,790.0,1492,38,271166,276977
222048,,-1,27,0,590631
58885,305.0,1678,27,33,476
111477,,-1,1,0,590631
57091,839.0,33,3,66622,68188
112594,235.0,1224,1,842,7962
211052,,-1,5,0,590631
76260,283.0,1579,2,70946,80723
4142,678.0,250,18,64043,82373
81091,790.0,1492,107,271166,276977
124716,888.0,866,12,234988,235872
129765,523.0,593,2,1597,8821
119553,283.0,1579,1,70946,80723
149490,,-1,4,0,590631
21684,839.0,33,2,66622,68188
143525,,-1,3,0,590631
96521,790.0,1492,7,271166,276977
215406,,-1,3,0,590631
4615,364.0,711,34,68301,68312
191881,,-1,1,0,590631
21925,434.0,968,24,1867,1867
38642,,-1,21,0,590631
81671,1041.0,1313,2,330,1073
195982,,-1,25,0,590631
192944,678.0,250,12,64043,82373
167420,,-1,7,0,590631
44839,,-1,54,0,590631
188055,931.0,1181,1,705,1038
74311,364.0,711,13,68301,68312
53334,764.0,1370,8,62573,62592
152976,496.0,893,19,5507,8190
109530,790.0,1492,25,271166,276977
172834,751.0,893,1,1236,8190
215835,790.0,1492,250,271166,276977
18178,112.0,381,1,66052,66282
73022,764.0,1370,1,62573,62592
192745,220.0,795,5,29,1040
146778,888.0,866,97,234988,235872
206676,729.0,1175,4,319,319
209699,400.0,110,81,32988,33761
142368,928.0,20,2,26829,28391
11189,790.0,1492,22,271166,276977
98140,230.0,1424,51,8926,12622
151163,283.0,1579,7,70946,80723
48893,,-1,20,0,590631
159594,790.0,1492,15,271166,276977
9545,98.0,513,10,838,839
176981,888.0,866,6,234988,235872
25481,888.0,866,3,234988,235872
36399,493.0,1331,63,181,233
59479,810.0,378,3,11279,13107
63620,888.0,866,12,234988,235872
155004,,-1,2,0,590631
201325,853.0,1687,35,250,2653
223912,,-1,4,0,590631
190115,678.0,250,3,64043,82373
199003,776.0,727,17,78927,80906
98570,888.0,866,19,234988,235872
203291,595.0,186,1,2303,2303
35082,,-1,143,0,590631
51787,159.0,1028,1,60445,60669
209794,888.0,866,206,234988,235872
155852,,-1,41,0,590631
225384,686.0,594,9,7493,9219
217869,764.0,1370,5,62573,62592
103358,776.0,727,1,78927,80906
141683,,-1,31,0,590631
52181,,-1,2,0,590631
13587,,-1,3,0,590631
65534,71.0,1579,55,8372,80723
191599,689.0,207,2,23918,24621
214286,679.0,-1,2,1336,590631
39915,1036.0,1420,5,25717,25773
159815,,-1,3,0,590631
89486,790.0,1492,1,271166,276977
225224,790.0,1492,3,271166,276977
43227,815.0,1027,1,2529,2804
10865,888.0,866,2,234988,235872
189697,888.0,866,4,234988,235872
53512,888.0,866,2,234988,235872
153769,,-1,1,0,590631
148570,888.0,866,1,234988,235872
129740,,-1,1,0,590631
113857,981.0,949,2,9087,9187
34591,,-1,31,0,590631
9075,422.0,489,29,1204,1210
220854,978.0,747,706,6979,6979
38500,888.0,866,3,234988,235872
34421,113.0,1532,1,865,3595
229113,888.0,866,2,234988,235872
144749,867.0,441,22,2010,2010
96561,,-1,1,0,590631
89534,283.0,1579,7,70946,80723
25769,227.0,602,2,52466,52865
123071,364.0,711,13,68301,68312
215326,283.0,1579,1,70946,80723
1780,25.0,1490,4,747,2421
98649,,-1,66,0,590631
157080,214.0,418,38,2031,6223
60580,888.0,866,2,234988,235872
131038,698.0,1251,2,44115,44743
94754,202.0,1008,39,68054,68963
179861,888.0,866,2,234988,235872
66990,120.0,897,1,2277,2282
122420,364.0,711,11,68301,68312
18046,790.0,1492,37,271166,276977
119263,888.0,866,7,234988,235872
56606,790.0,1492,1,271166,276977
212025,790.0,1492,3,271166,276977
