iter	Passed	Remaining
0	72	14341
1	93	9261
2	115	7594
3	137	6721
4	158	6192
5	180	5842
6	202	5584
7	223	5354
8	246	5224
9	268	5095
10	290	4991
11	312	4900
12	335	4819
13	358	4760
14	380	4697
15	404	4647
16	426	4595
17	448	4536
18	470	4484
19	493	4438
20	514	4388
21	541	4381
22	567	4369
23	590	4332
24	618	4327
25	643	4308
26	666	4270
27	688	4227
28	710	4189
29	731	4146
30	752	4103
31	774	4066
32	797	4036
33	820	4004
34	842	3973
35	865	3942
36	887	3911
37	911	3884
38	934	3857
39	956	3825
40	977	3790
41	1000	3762
42	1022	3734
43	1045	3705
44	1066	3674
45	1089	3647
46	1111	3619
47	1133	3589
48	1155	3560
49	1178	3536
50	1200	3506
51	1221	3476
52	1243	3448
53	1265	3422
54	1288	3396
55	1310	3370
56	1333	3344
57	1355	3319
58	1378	3293
59	1402	3273
60	1425	3247
61	1447	3221
62	1472	3201
63	1495	3177
64	1517	3152
65	1540	3127
66	1563	3103
67	1586	3079
68	1608	3052
69	1629	3026
70	1653	3003
71	1675	2978
72	1697	2953
73	1720	2928
74	1743	2905
75	1765	2880
76	1789	2858
77	1811	2832
78	1831	2805
79	1853	2780
80	1875	2755
81	1897	2730
82	1918	2704
83	1944	2685
84	1965	2659
85	1987	2634
86	2010	2610
87	2032	2587
88	2054	2562
89	2076	2537
90	2098	2513
91	2120	2488
92	2142	2464
93	2164	2441
94	2186	2417
95	2210	2394
96	2233	2371
97	2255	2347
98	2277	2323
99	2301	2301
100	2324	2278
101	2347	2255
102	2370	2231
103	2394	2210
104	2416	2186
105	2439	2163
106	2462	2140
107	2485	2116
108	2507	2093
109	2529	2069
110	2551	2046
111	2573	2022
112	2597	1999
113	2619	1975
114	2642	1952
115	2664	1929
116	2686	1905
117	2708	1882
118	2730	1858
119	2753	1835
120	2776	1812
121	2798	1789
122	2820	1765
123	2843	1742
124	2864	1718
125	2887	1695
126	2910	1673
127	2933	1650
128	2956	1627
129	2978	1603
130	3003	1582
131	3026	1559
132	3049	1536
133	3072	1513
134	3095	1490
135	3117	1466
136	3139	1443
137	3161	1420
138	3183	1397
139	3206	1374
140	3229	1351
141	3252	1328
142	3274	1305
143	3296	1282
144	3319	1259
145	3342	1236
146	3364	1213
147	3386	1189
148	3408	1166
149	3431	1143
150	3453	1120
151	3476	1097
152	3498	1074
153	3520	1051
154	3541	1028
155	3563	1005
156	3585	981
157	3606	958
158	3628	935
159	3649	912
160	3670	889
161	3693	866
162	3715	843
163	3736	820
164	3758	797
165	3780	774
166	3802	751
167	3823	728
168	3846	705
169	3868	682
170	3891	659
171	3912	636
172	3933	613
173	3955	591
174	3976	568
175	3996	545
176	4020	522
177	4043	499
178	4066	477
179	4088	454
180	4110	431
181	4132	408
182	4154	385
183	4176	363
184	4200	340
185	4223	317
186	4252	295
187	4276	272
188	4299	250
189	4321	227
190	4344	204
191	4367	181
192	4390	159
193	4414	136
194	4437	113
195	4460	91
196	4482	68
197	4508	45
198	4531	22
199	4554	0
